epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.3222,1.4883,1.79386,1.47126,0.82681,0.61631,0.67528,0.35458,1.47489,1.18214,1.55073,0.000368342,0.000368342,0.000368342
2,139.735,1.41134,1.21925,1.39775,0.68081,0.73669,0.69752,0.37832,1.47167,1.05359,1.51412,0.00072405,0.00072405,0.00072405
3,197.074,1.39294,1.12939,1.38478,0.7187,0.65486,0.74305,0.39492,1.51577,0.99006,1.54926,0.00106509,0.00106509,0.00106509
4,256.286,1.38558,1.08275,1.37352,0.75702,0.6732,0.74551,0.38938,1.46472,0.95532,1.52051,0.00104501,0.00104501,0.00104501
5,314.384,1.36466,1.02161,1.35885,0.70595,0.79638,0.80857,0.43603,1.4457,0.88403,1.49086,0.00102301,0.00102301,0.00102301
6,372.266,1.3369,0.97016,1.33509,0.85072,0.64546,0.78279,0.4161,1.47774,0.87634,1.52778,0.00100101,0.00100101,0.00100101
7,429.955,1.32805,0.93347,1.32207,0.77374,0.79988,0.82747,0.43438,1.51287,0.86377,1.52907,0.000979013,0.000979013,0.000979013
8,487.706,1.29968,0.90746,1.31272,0.70828,0.85923,0.81754,0.44564,1.42271,0.82947,1.46451,0.000957015,0.000957015,0.000957015
9,543.44,1.2894,0.88551,1.30657,0.86145,0.71699,0.81341,0.44403,1.4317,0.835,1.47074,0.000935018,0.000935018,0.000935018
10,599.343,1.27436,0.8628,1.29612,0.76715,0.81088,0.83756,0.4451,1.4385,0.869,1.47776,0.00091302,0.00091302,0.00091302
11,654.543,1.27101,0.83582,1.29102,0.83059,0.79893,0.85833,0.44644,1.44793,0.81256,1.454,0.000891022,0.000891022,0.000891022
12,711.687,1.24481,0.81539,1.27753,0.79694,0.79778,0.84576,0.45885,1.47665,0.77549,1.53187,0.000869024,0.000869024,0.000869024
13,767.166,1.24477,0.79977,1.27751,0.78703,0.78375,0.81536,0.44762,1.42107,0.77894,1.46932,0.000847026,0.000847026,0.000847026
14,822.31,1.2309,0.78913,1.27018,0.79022,0.75578,0.79921,0.45218,1.39294,0.7578,1.43473,0.000825029,0.000825029,0.000825029
15,878.985,1.21893,0.7729,1.26641,0.81858,0.73398,0.81603,0.455,1.41877,0.76028,1.4681,0.000803031,0.000803031,0.000803031
16,934.906,1.19976,0.75249,1.24944,0.80623,0.80583,0.84033,0.47385,1.39127,0.71919,1.44484,0.000781033,0.000781033,0.000781033
17,991.199,1.19889,0.74954,1.24347,0.77665,0.79243,0.82754,0.44711,1.43213,0.77686,1.47417,0.000759035,0.000759035,0.000759035
18,1048.63,1.18729,0.7415,1.23787,0.86989,0.79419,0.8669,0.48329,1.45425,0.73361,1.49348,0.000737037,0.000737037,0.000737037
19,1104.27,1.16881,0.71906,1.2262,0.87993,0.77361,0.84609,0.47958,1.39658,0.72661,1.44862,0.00071504,0.00071504,0.00071504
20,1159.92,1.16163,0.71013,1.22297,0.85572,0.78132,0.84772,0.44938,1.42403,0.72468,1.46413,0.000693042,0.000693042,0.000693042
21,1216.77,1.16294,0.70845,1.22437,0.87113,0.78092,0.87372,0.46055,1.46556,0.70744,1.52022,0.000671044,0.000671044,0.000671044
22,1272.75,1.14558,0.69233,1.22156,0.83705,0.84722,0.8637,0.48088,1.40627,0.69651,1.46902,0.000649046,0.000649046,0.000649046
23,1329.6,1.14654,0.6838,1.21072,0.75989,0.89453,0.86656,0.48729,1.4135,0.71963,1.45726,0.000627048,0.000627048,0.000627048
24,1386.33,1.13122,0.6686,1.19951,0.87138,0.79967,0.86016,0.48662,1.39507,0.68226,1.44564,0.000605051,0.000605051,0.000605051
25,1441.97,1.11887,0.66799,1.19639,0.80359,0.80275,0.84957,0.47323,1.45707,0.7162,1.51301,0.000583053,0.000583053,0.000583053
26,1497.82,1.109,0.65466,1.19043,0.8168,0.7783,0.83939,0.47178,1.41265,0.73927,1.47885,0.000561055,0.000561055,0.000561055
27,1553.15,1.10363,0.65337,1.18637,0.89064,0.80715,0.87064,0.4815,1.42545,0.68085,1.47871,0.000539057,0.000539057,0.000539057
28,1609.31,1.08834,0.63841,1.17571,0.76956,0.84824,0.8406,0.48127,1.37164,0.70456,1.45207,0.000517059,0.000517059,0.000517059
