epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.559,1.07952,3.05455,1.58757,0.53191,0.5903,0.59376,0.23286,1.2887,2.75125,1.90625,0.0670976,0.000332347,0.000332347
2,236.999,1.0256,2.33849,1.53862,0.63427,0.75017,0.73063,0.35404,1.09977,2.24766,1.6356,0.0340845,0.0006525,0.0006525
3,352.268,1.00788,2.22221,1.51392,0.71233,0.83599,0.78722,0.34637,1.16215,2.02075,1.72138,0.00105807,0.000959453,0.000959453
4,467.6,0.99352,2.13196,1.50123,0.71145,0.76103,0.77571,0.37112,1.11336,1.98208,1.69609,0.0009406,0.0009406,0.0009406
5,581.361,0.97361,2.0437,1.48359,0.76751,0.74953,0.79686,0.39312,1.0674,1.77451,1.63424,0.0009208,0.0009208,0.0009208
6,695.797,0.9602,1.95378,1.46876,0.80947,0.75091,0.81287,0.39611,1.07549,1.78492,1.63502,0.000901,0.000901,0.000901
7,810.121,0.94489,1.88758,1.44845,0.8008,0.79841,0.85468,0.4427,1.01384,1.67152,1.58264,0.0008812,0.0008812,0.0008812
8,923.452,0.93573,1.84149,1.44022,0.85145,0.76695,0.83238,0.40471,1.08997,1.62889,1.66156,0.0008614,0.0008614,0.0008614
9,1037.46,0.92364,1.78648,1.42804,0.82224,0.78516,0.84705,0.42135,1.03634,1.60942,1.61017,0.0008416,0.0008416,0.0008416
10,1150.94,0.92229,1.7377,1.42212,0.79515,0.87705,0.86166,0.42932,1.0503,1.65791,1.61373,0.0008218,0.0008218,0.0008218
11,1262.86,0.90508,1.6947,1.40843,0.82927,0.81188,0.86452,0.44724,0.98335,1.49587,1.5678,0.000802,0.000802,0.000802
12,1375.99,0.9062,1.67538,1.40694,0.85652,0.8179,0.86837,0.46041,0.97182,1.49518,1.54764,0.0007822,0.0007822,0.0007822
13,1488.55,0.89406,1.6287,1.39729,0.82267,0.78812,0.81617,0.4106,1.05522,1.58214,1.61166,0.0007624,0.0007624,0.0007624
14,1600.61,0.88401,1.6095,1.38187,0.89672,0.77742,0.85943,0.46077,0.98914,1.43804,1.54442,0.0007426,0.0007426,0.0007426
15,1712.89,0.88216,1.58228,1.37814,0.80376,0.82352,0.84797,0.44453,0.97399,1.4582,1.529,0.0007228,0.0007228,0.0007228
16,1823.93,0.87921,1.56679,1.37291,0.86872,0.79664,0.86992,0.48804,0.95805,1.44305,1.52295,0.000703,0.000703,0.000703
