epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.077,1.14892,6.59519,1.76079,0.75844,0.63819,0.74721,0.28557,1.32428,5.10038,2.00534,0.000332347,0.000332347,0.0670976
2,265.176,1.08763,5.25098,1.67282,0.65812,0.73392,0.7107,0.32605,1.1287,4.61369,1.80988,0.0006525,0.0006525,0.0340845
3,396.56,1.07043,4.95349,1.64282,0.82829,0.67717,0.7605,0.32299,1.23803,4.29794,1.90083,0.000959453,0.000959453,0.00105807
4,523.831,1.06293,4.80763,1.63473,0.7126,0.73549,0.76755,0.33101,1.16157,4.28103,1.81497,0.0009406,0.0009406,0.0009406
5,650.829,1.03994,4.59473,1.61515,0.74468,0.76155,0.8106,0.34485,1.21584,4.03469,1.80842,0.0009208,0.0009208,0.0009208
6,778.971,1.02364,4.46616,1.58921,0.83392,0.71884,0.82972,0.39784,1.05885,3.65887,1.67892,0.000901,0.000901,0.000901
7,906.579,1.01546,4.339,1.57625,0.80841,0.77594,0.84229,0.42293,1.05492,3.50068,1.70471,0.0008812,0.0008812,0.0008812
8,1037.49,1.00647,4.23433,1.56816,0.79272,0.77022,0.82673,0.34584,1.2148,3.83795,1.83508,0.0008614,0.0008614,0.0008614
9,1167.74,1.00084,4.1639,1.55315,0.75708,0.80601,0.81789,0.39107,1.13828,3.69736,1.71073,0.0008416,0.0008416,0.0008416
10,1295.49,0.99086,4.07181,1.54663,0.8138,0.78324,0.8402,0.39778,1.10921,3.39403,1.71966,0.0008218,0.0008218,0.0008218
11,1423.77,0.98658,4.01403,1.54628,0.8935,0.74589,0.84045,0.42151,1.07076,3.28647,1.66646,0.000802,0.000802,0.000802
12,1551.51,0.98532,3.98082,1.53368,0.77137,0.82339,0.85505,0.42484,1.04004,3.28038,1.64246,0.0007822,0.0007822,0.0007822
13,1678.38,0.9797,3.95032,1.53316,0.84096,0.7623,0.8305,0.39801,1.0601,3.28295,1.68113,0.0007624,0.0007624,0.0007624
14,1804.22,0.9648,3.86356,1.52206,0.77864,0.81721,0.86011,0.41236,1.06981,3.27542,1.68329,0.0007426,0.0007426,0.0007426
15,1929.69,0.96752,3.82695,1.51684,0.78109,0.84491,0.85885,0.43844,1.02544,3.11844,1.60912,0.0007228,0.0007228,0.0007228
16,2055.54,0.95969,3.73666,1.50904,0.86765,0.799,0.8819,0.46748,1.013,2.98606,1.60604,0.000703,0.000703,0.000703
17,2178.02,0.95405,3.70596,1.50175,0.84116,0.86281,0.88521,0.45976,1.01247,3.01992,1.61232,0.0006832,0.0006832,0.0006832
18,2302.23,0.94994,3.65663,1.49616,0.91226,0.77511,0.8564,0.44291,1.01126,3.00901,1.62408,0.0006634,0.0006634,0.0006634
19,2427.12,0.95323,3.65138,1.49953,0.79176,0.824,0.84658,0.45032,1.00134,3.08016,1.58841,0.0006436,0.0006436,0.0006436
20,2550.87,0.94583,3.59066,1.48729,0.81068,0.83762,0.86773,0.44222,1.03282,2.94399,1.62787,0.0006238,0.0006238,0.0006238
21,2673.42,0.93286,3.50771,1.47754,0.91727,0.78369,0.87309,0.47474,1.00779,2.93177,1.61819,0.000604,0.000604,0.000604
22,2797.26,0.93262,3.49498,1.47639,0.87489,0.84481,0.88811,0.47077,1.01524,2.80916,1.61311,0.0005842,0.0005842,0.0005842
23,2920.23,0.93183,3.47797,1.47839,0.79976,0.85836,0.84958,0.45582,0.97869,2.88315,1.58309,0.0005644,0.0005644,0.0005644
24,3044.44,0.93063,3.48636,1.4718,0.88101,0.81065,0.88232,0.45924,1.0128,2.93243,1.61595,0.0005446,0.0005446,0.0005446
25,3167.94,0.92324,3.4017,1.46554,0.87062,0.7864,0.8668,0.48301,0.98177,2.86506,1.56439,0.0005248,0.0005248,0.0005248
